word,count
also,196648
door,196347
ground,196253
fast,194971
idea,193064
lot,192925
hug,192441
nodded,191405
feeling,191072
keep,190569
picked,188668
walking,187967
has,185413
where,183675
being,182327
mum,181091
maybe,180840
smile,180831
finally,180636
looking,180439
need,179616
show,177723
food,173338
eyes,173115
stopped,172587
that's,171557
blue,171256
here,171172
great,170859
ever,168015
flowers,167224
noticed,166295
hands,166281
clean,165449
forest,164773
hand,164510
important,162592
bob,162515
fish,161461
slide,161302
sue,161097
replied,160919
listen,160218
showed,159531
right,157437
watched,155807
stay,155682
goodbye,155654
please,154517
truck,154370
quickly,153618
been,153494
rabbit,153422
voice,153087
daddy,150386
sarah,149900
different,149743
first,148822
bed,148600
became,148420
face,148256
hello,148134
place,148014
walk,147522
high,147061
closer,146623
work,146416
stop,145961
our,145731
fly,143807
curious,143650
jane,142901
head,142867
wait,142814
three,142808
store,141993
let,141960
cake,140153
anymore,139284
only,137216
mean,136961
bunny,136546
use,136492
lila,136187
strong,135807
grabbed,135686
fell,133671
us,133379
birds,133177
boat,132809
jumped,132294
warm,131877
adventure,131732
kitchen,131645
glad,131470
does,131366
night,130852
helped,130560
doll,129639
am,129423
happened,128043
yummy,127689
ready,127351
cry,127003
sees,126919
shouted,126877
grandma,126783
story,126232
dress,126222
really,126029
book,125379
reached,125127
realized,124873
having,123854
grass,123621
bright,123432
watch,123361
joe,122572
open,122054
favorite,122043
rock,122007
game,121833
ate,121681
bit,121205
tommy,121065
through,120790
thing,120238
began,119354
looks,118783
world,118484
himself,118104
learn,117918
making,117584
done,117540
kids,117532
wow,117095
sometimes,117023
ok,117006
coming,116830
lady,116492
pond,115908
waved,115824
mouse,115174
tired,114978
cars,114748
than,114464
name,113779
near,113737
worry,113178
flower,112931
under,112651
funny,112623
another,112326
used,112098
seen,111896
surprise,111232
timmy's,111197
doing,110760
hopped,110759
cried,110706
top,110511
blocks,110478
parents,109801
green,109719
can't,109056
years,108924
touch,108588
soft,108013
think,108007
catch,107596
sally,107472
care,107207
trees,106824
behind,106754
running,106390
lesson,106243
full,106243
worked,106171
floor,105914
daisy,105868
likes,105264
pick,105233
wished,105187
yellow,105094
paper,104980
happily,104442
brother,104079
surprised,103521
carefully,102970
ice,102172
lost,101993
butterfly,101794
remembered,101769
held,101625
teddy,101395
hole,101099
baby,100789
needed,100381
tell,100133
cold,99487
left,98853
cool,98809
dark,98485
anything,98400
sat,97917
enjoyed,97626
wrong,97550
picture,97270
hear,97179
move,96969
benny,96910
buy,96813
followed,96797
you're,96465
sound,95931
delicious,95752
children,95667
finished,95271
friendly,95141
billy,94700
hat,94512
herself,94430
close,94178
someone,93105
frog,92936
everywhere,92653
arrived,92597
wonderful,92226
window,91753
rain,91623
own,91316
table,91296
colors,90918
swing,90746
wind,90743
broken,90354
able,90039
cream,89959
gone,89941
else,89791
read,89527
filled,89328
sweet,89302
climb,89190
molly,88992
books,88827
everything,88564
agreed,88496
amy,88495
continued,87757
stick,87539
tall,87372
pink,86946
wants,86872
bag,86849
hill,86737
leaves,86565
later,86226
enough,86045
jump,85966
any,85536
morning,84501
lion,84293
understand,84263
ask,84136
getting,83913
cookies,83773
hot,83487
far,83483
mama,83398
stayed,83327
fire,82253
beach,82154
forgot,82046
scary,82007
oh,81843
laugh,81719
few,81696
dinner,81640
today,81334
hungry,81332
turned,81311
hair,81188
mess,80952
trying,80315
amazing,80293
set,80188
wet,80054
joy,79832
makes,79747
others,79744
castle,79446
climbed,79294
pictures,79007
mother,78784
white,78626
listened,78093
smiles,78045
air,78039
squirrel,78001
leave,77277
fix,77205
alone,77162
clothes,76689
moment,76611
talk,76531
rest,76225
brought,75943
jill,75308
strange,75305
puppy,74916
light,74811
woods,74800
pulled,74586
moral,74403
well,74258
duck,74252
tail,74086
fox,73997
ride,73913
asks,73791
wasn't,72596
might,72131
amazed,71782
waited,71552
towards,71217
hide,70963
silly,70361
flying,70328
fluffy,69703
shared,69525
runs,69523
perfect,69501
slowly,69375
living,68852
sing,68680
promised,68579
pretend,68026
thinks,68013
lake,67927
owner,67885
deep,67807
draw,67725
job,67566
party,67177
money,67078
race,66855
wear,66802
worried,66312
faster,66068
sand,66032
dance,65818
colorful,65804
pieces,65702
remember,65386
broke,65164
such,64870
grateful,64838
bigger,64783
mary,64523
candy,64499
welcome,64349
brown,63957
visit,63773
train,63574
hi,63574
monster,63523
magical,63013
sit,62905
dangerous,62681
bike,62622
helping,62485
across,62417
music,62376
most,62314
side,62176
cut,61957
met,61940
join,61639
smart,61516
year,61463
sleep,61431
princess,61381
farmer,61079
words,61056
reach,60453
believe,60371
sister,60299
tight,60262
threw,60250
stepped,60238
heavy,60226
tower,60202
dolls,60131
bite,60051
dirty,59964
same,59847
crying,59792
field,59779
twins,59746
river,59678
dragon,59408
bug,59262
wall,59113
jimmy,58838
closed,58679
mummy,58439
stuck,58099
balloon,58087
turn,58040
start,58036
song,57939
without,57893
quiet,57587
school,57446
eating,57359
hoped,57351
feels,56945
bowl,56910
wouldn't,56469
course,56465
clapped,56435
must,56282
swim,56085
fairy,56059
mouth,56014
eventually,55756
gentle,55703
black,55589
drove,55287
pushed,55124
paint,55054
town,54958
higher,54913
emma,54631
along,54471
break,54374
swings,54357
blanket,54241
animal,53938
games,53505
piece,53480
cheered,53379
wings,53290
magic,53201
explained,53200
mine,53191
yard,53180
longer,53170
treasure,52761
noises,52346
sang,52227
pet,52172
late,52155
enjoy,52119
child,52036
doctor,52003
hugs,51983
teacher,51939
sign,51793
turns,51783
stories,51660
singing,51620
instead,51546
shoes,51523
build,51441
tiny,51426
adventures,51281
bee,51243
apple,51145
hold,51054
i'll,50887
lonely,50783
dry,50712
upset,50689
young,50675
what's,50450
wish,50273
fence,50206
monkey,50137
soup,49870
exploring,49867
nearby,49860
wise,49848
shook,49778
nothing,49723
moved,49716
pocket,49622
lunch,49563
naughty,49521
stars,49478
jar,49174
taking,49139
fight,48955
owl,48834
caught,48825
sunny,48796
purple,48548
backyard,48533
rocks,48532
seemed,48529
star,48518
whenever,48419
forget,48412
dropped,48307
though,48118
chair,48084
orange,48042
street,48026
sea,47995
heart,47947
swam,47902
sammy,47620
shapes,47304
nap,47209
sitting,47043
sounds,46969
woke,46887
hit,46870
bench,46855
busy,46582
wondered,46552
real,46534
snow,46402
nose,46351
follow,46241
juice,46154
takes,46106
holding,46042
kite,45876
farm,45820
mad,45783
days,45774
lucky,45647
comes,45627
arms,45532
mr,45430
pull,45183
birthday,44933
basket,44930
branch,44878
relieved,44834
afraid,44717
fit,44606
secret,44580
forever,44502
key,44498
nest,44420
promise,44398
cute,44298
daughter,44252
round,44204
bring,44196
gift,44169
fall,44127
cheese,43756
huge,43679
bucket,43615
elephant,43614
touched,43541
rainbow,43141
dream,43128
sick,43074
exciting,43015
laughing,42825
onto,42796
drink,42765
hey,42658
won't,42495
honey,42465
pot,42387
mom's,42330
life,42066
bush,41969
swimming,41963
bread,41903
sunshine,41900
jenny,41868
cozy,41828
bottle,41547
driver,41538
watching,41456
treat,41349
milk,41242
journey,41238
accidentally,40992
cave,40870
hope,40644
plan,40606
puts,40571
talked,40476
pointed,40414
gives,40384
sharp,40304
grow,40300
smiling,40295
bought,39987
king,39977
mark,39859
searched,39838
anyone,39739
apples,39710
emily,39622
mittens,39386
these,39119
jim,39010
interesting,38804
loves,38796
ducks,38727
win,38708
healthy,38667
plane,38590
tasty,38538
jen,38509
pile,38469
free,38393
wide,38384
crayons,38163
clouds,38135
tom's,38128
which,37926
rope,37732
clever,37688
woman,37673
shining,37642
smelled,37558
front,37557
button,37349
spotted,37144
screamed,37110
mud,36998
person,36984
storm,36938
fair,36865
bow,36859
snack,36817
rose,36807
trouble,36675
danced,36674
arm,36597
tim's,36531
road,36517
coat,36499
appeared,36409
spoon,36089
snake,35987
gently,35948
cup,35942
lovely,35936
asleep,35892
jake,35860
shop,35758
patient,35756
wearing,35730
snowman,35609
path,35598
grandpa,35566
places,35536
goes,35481
whole,35400
confused,35267
sharing,34992
corner,34973
answer,34889
fruit,34869
horse,34848
tries,34848
matter,34845
giant,34734
rolled,34568
dirt,34524
tasted,34479
forgive,34427
rude,34143
machine,34102
spent,34028
teeth,34006
furry,33905
cookie,33832
phone,33821
wild,33737
true,33690
oven,33660
lisa,33606
ocean,33554
pretended,33544
fighting,33460
feet,33422
tomorrow,33300
lets,33253
faces,33217
spider,33167
throw,33080
problem,32959
last,32949
zoo,32944
picnic,32933
wave,32893
helpful,32798
ow,32621
talking,32583
kitty,32534
smell,32505
drive,32365
push,32254
peter,32117
village,32096
write,32096
slow,32004
couch,31974
coin,31947
building,31906
happen,31866
ladder,31835
bugs,31760
treats,31663
wore,31618
chased,31614
cow,31587
blew,31573
call,31540
trip,31537
grab,31513
calm,31500
part,31486
fur,31436
hiding,31363
waiting,31288
shy,31232
knee,31200
puddle,31181
finish,31171
mind,31105
shelf,31079
pool,31059
songs,31048
chocolate,31024
cannot,30739
hop,30689
string,30647
taste,30639
selfish,30467
large,30452
sack,30441
fixed,30301
barked,30246
stone,30236
smooth,30236
leaf,30228
lay,30224
letter,30169
carrot,30159
wash,30071
splash,29889
count,29868
plant,29821
spread,29629
jungle,29497
cloud,29485
missed,29421
shirt,29391
cloth,29346
jumping,29317
color,29284
hid,29273
peaceful,29245
kiss,29244
embarrassed,29214
landed,29199
forward,29192
gray,29184
meet,29174
seat,29130
tidy,29092
necklace,29076
seek,29054
won,29034
robot,29032
land,28976
carry,28959
hears,28891
tv,28876
sticks,28797
carrots,28796
teach,28776
tea,28705
creative,28651
ben's,28636
creature,28613
bus,28610
bell,28579
knocked,28577
almost,28546
stood,28443
legs,28310
rex,28293
tightly,28275
ashamed,28259
whistle,28255
plate,28240
johnny,28227
moon,28227
meant,28141
miss,28125
grew,28108
empty,28104
tells,28103
ant,27820
honest,27813
alice,27790
understood,27764
carried,27680
hours,27666
protect,27656
meadow,27604
yelled,27588
disappointed,27565
save,27492
nods,27327
snacks,27299
sheep,27235
stand,27227
sparkly,27106
standing,26939
sail,26887
bath,26869
poor,26849
breath,26837
line,26827
hospital,26819
hidden,26772
taught,26652
generous,26645
kitten,26634
knowing,26609
bored,26602
crab,26565
easy,26515
minutes,26466
prince,26446
plants,26443
returned,26435
scarf,26419
polite,26418
mountain,26396
waves,26353
present,26344
pizza,26334
wolf,26299
leo,26297
sighed,26268
mysterious,26250
band,26217
frustrated,26216
spicy,26213
bedroom,26128
cook,26069
determined,26004
puzzle,25991
powerful,25989
thankful,25958
sleepy,25891
sandwich,25874
drew,25864
shore,25802
passed,25791
grumpy,25782
fancy,25762
sour,25731
zoom,25668
finger,25657
messy,25627
tears,25605
bridge,25542
kissed,25477
closet,25461
group,25437
gate,25366
gathered,25299
roar,25280
worm,25267
ring,25240
ship,25109
bubbles,25107
lock,25102
yourself,25072
scissors,25051
working,25006
answered,24994
often,24936
cries,24928
hopping,24813
ugly,24648
block,24643
susie,24632
chest,24458
wood,24453
expensive,24375
excitement,24369
deer,24300
shell,24298
middle,24275
lit,24275
mail,24257
saved,24252
taken,24224
caterpillar,24202
mix,24064
wagged,24056
pleased,24041
ones,23976
boring,23901
picks,23861
card,23860
pig,23842
asking,23809
vase,23766
sugar,23741
tie,23737
brush,23708
dancing,23669
vegetables,23635
leg,23619
fine,23597
net,23578
spin,23548
giggled,23515
glass,23511
nervous,23511
bye,23469
moms,23453
especially,23441
roll,23437
mistake,23428
cage,23427
gets,23364
rocket,23349
comfortable,23289
packed,23258
police,23210
lying,23181
sweetie,23096
queen,23087
fake,23034
fruits,22992
eggs,22861
pain,22836
number,22832
bobby,22824
glue,22794
medicine,22781
drawing,22740
moving,22739
walks,22707
distance,22706
feed,22699
bone,22676
bake,22639
splashed,22626
change,22584
dogs,22577
disappeared,22524
smelly,22518
feathers,22460
become,22423
crown,22396
boys,22396
lazy,22324
elderly,22318
lose,22299
licked,22271
calling,22260
bathroom,22167
playground,22095
test,22038
neighbor,21983
pay,21942
body,21914
match,21908
yours,21881
rich,21881
questions,21851
penny,21844
respect,21834
tent,21831
thanks,21825
wrote,21817
mirror,21789
noisy,21783
nod,21726
skipped,21607
max's,21598
father,21552
famous,21533
tape,21494
stones,21438
ruined,21394
pete,21394
covered,21388
incredible,21378
mandy,21377
gun,21374
eager,21354
drank,21327
shows,21252
juicy,21247
balls,21184
tiger,21175
those,21136
sailed,21129
pillow,21071
live,21018
decide,21011
flag,21001
realised,20993
lamp,20988
rare,20987
discovered,20977
coins,20952
needs,20899
we're,20856
loyal,20819
weak,20799
joke,20714
cleaned,20709
towel,20707
branches,20699
ellie,20620
balance,20603
chicken,20579
adventurous,20556
mighty,20536
offered,20498
sadly,20498
barn,20463
clear,20456
lifted,20413
colourful,20401
measure,20394
butter,20381
map,20380
organized,20263
unique,20248
eye,20246
cross,20224
tag,20215
wheel,20209
bottom,20181
happening,20170
learning,20161
soap,20151
knife,20142
difficult,20140
dig,20124
mrs,20103
hose,20090
clown,20087
kindness,20076
pie,20039
weird,20027
bella,20019
garage,19998
neck,19960
managed,19943
ella,19932
smoke,19929
hurts,19924
word,19919
board,19887
fill,19865
jealous,19861
circle,19845
wonder,19794
crawled,19790
saying,19785
balloons,19777
bald,19760
shake,19733
chase,19728
may,19726
berries,19707
thin,19704
tough,19686
pointing,19648
dizzy,19648
search,19616
bobo,19575
island,19564
extra,19503
louder,19492
content,19483
fred,19475
added,19467
figure,19462
harder,19423
already,19400
edge,19395
four,19393
spun,19369
lift,19357
knight,19355
unusual,19318
favourite,19309
enjoying,19288
drum,19278
wand,19258
hats,19238
trucks,19223
wrapped,19201
belonged,19199
whale,19190
dinosaur,19178
giving,19171
wake,19171
excitedly,19167
impressed,19144
kid,19110
cheerful,19109
foot,19095
thick,19095
banana,19086
normal,19054
choose,19039
uncle,19033
turtle,19010
laughs,19010
bossy,18948
ears,18925
sword,18925
zip,18913
loudly,18904
trust,18900
market,18899
guitar,18865
birdie,18860
brothers,18853
proudly,18840
boxes,18832
anna's,18812
check,18801
buttons,18789
painting,18788
circles,18784
escape,18766
tweety,18731
dreamed,18701
against,18698
frightened,18695
pen,18680
step,18653
aunt,18650
paw,18648
invited,18647
brilliant,18644
helps,18618
happiness,18543
team,18531
ancient,18524
trunk,18518
means,18510
belong,18495
safely,18488
clay,18433
slipped,18416
swan,18384
valuable,18377
crayon,18351
breakfast,18329
walls,18323
successful,18308
dreams,18294
grown,18292
log,18224
knows,18203
clap,18194
shout,18190
sight,18189
fridge,18161
girl's,18157
falls,18156
shape,18120
nicely,18095
space,18038
skin,18033
nosy,18031
movie,18007
houses,18000
foolish,17984
city,17968
ear,17948
stubborn,17946
delicate,17938
icy,17924
dead,17922
office,17915
borrow,17895
rough,17842
fat,17833
suggested,17788
kick,17757
wagon,17726
exclaimed,17722
notice,17718
shells,17702
kinds,17690
mixed,17689
wiped,17670
lights,17668
useful,17667
poured,17649
collect,17636
locked,17603
tools,17600
lola,17598
bounce,17596
sounded,17573
stove,17552
explored,17528
gold,17517
horn,17515
fierce,17512
using,17429
times,17390
egg,17387
patch,17347
above,17328
bags,17302
spoiled,17290
showing,17275
cart,17272
print,17265
fragile,17258
themselves,17255
stumbled,17245
bushes,17236
son,17217
obedient,17188
fingers,17187
fountain,17163
spinning,17150
nemo,17140
dependable,17135
smaller,17122
dough,17092
bees,17049
jolly,17042
jam,17038
playful,17027
goat,17025
raced,17018
brightly,16947
practice,16919
delighted,16910
handed,16908
rode,16900
enormous,16890
built,16879
we'll,16874
dave,16868
cleaning,16857
admired,16845
clock,16831
thoughtful,16831
pass,16812
kicked,16808
counted,16785
act,16778
sam's,16768
george,16762
ways,16760
changed,16758
hero,16733
shone,16732
original,16713
reminded,16705
popcorn,16696
dont,16681
ducky,16654
jog,16647
bitter,16607
whispered,16561
independent,16553
solve,16540
chose,16529
cone,16520
hairy,16504
stronger,16491
allowed,16489
roof,16474
witch,16474
boats,16465
tummy,16463
terrible,16445
spray,16436
painted,16406
unknown,16398
yet,16396
sauce,16367
pumpkin,16293
parrot,16291
finding,16273
spend,16268
dove,16258
picking,16257
wrap,16248
reliable,16245
leaving,16243
pencil,16228
shark,16222
gasped,16222
joined,16212
thinking,16190
scare,16179
scream,16171
hammer,16129
pan,16120
ann,16108
metal,16093
toby,16064
mike,16056
stupid,16043
modern,15994
salad,15987
bill,15979
forth,15976
power,15973
delight,15959
spaghetti,15947
advice,15938
wealthy,15887
sleeping,15870
holds,15850
clumsy,15840
dolphin,15833
',15806
create,15799
toast,15788
goose,15771
beak,15753
serious,15753
searching,15748
pirate,15739
sink,15739
telling,15724
yarn,15719
stairs,15718
nobody,15714
rushed,15692
guilty,15678
march,15678
cover,15649
crazy,15617
hay,15616
week,15615
half,15561
angel,15548
opens,15534
nature,15527
joey,15527
add,15523
tank,15481
view,15464
flexible,15400
driving,15390
friendship,15374
barber,15358
grandma's,15327
reading,15320
camera,15314
lemon,15313
carrying,15313
umbrella,15312
stream,15300
bird's,15297
low,15291
washed,15289
jack's,15287
stage,15283
doesn't,15281
class,15274
graceful,15269
regular,15240
missing,15240
kim,15239
sparkled,15220
seeds,15212
ending,15211
popular,15203
dull,15194
impressive,15187
tied,15164
engine,15151
library,15149
dad's,15147
meal,15139
imagined,15130
hoop,15082
dreaming,15079
jacket,15075
polly,15070
truth,15066
prize,15062
shocked,15041
butterflies,15040
rubbed,15026
corn,15024
ingredients,15015
andy,15000
sudden,14956
early,14874
sophie,14868
thirsty,14858
wheels,14850
you'll,14820
numbers,14799
nut,14774
yay,14769
feather,14724
peeked,14699
ahead,14688
hurry,14669
careless,14666
chew,14660
thunder,14638
spilled,14627
bracelet,14612
cheap,14596
stranger,14585
humble,14569
stops,14566
fresh,14525
diamond,14513
towers,14512
gum,14505
poppy,14504
sorts,14494
wing,14489
counting,14475
rat,14474
cooking,14470
mailbox,14467
bent,14465
flashlight,14461
handle,14451
nurse,14444
warned,14442
spoke,14420
note,14393
spring,14389
uncomfortable,14387
placed,14378
pale,14357
rug,14346
badly,14343
slides,14332
scale,14332
older,14329
mole,14328
value,14327
beep,14323
growing,14305
sunflower,14304
biggest,14298
couldnt,14295
flute,14264
celebrate,14251
tunnel,14199
drop,14191
guard,14176
jelly,14166
shoot,14164
beetle,14155
cupboard,14134
deaf,14134
harmless,14131
beauty,14116
sofa,14108
statue,14094
desk,14064
alex,14036
hang,14031
persistent,13996
charming,13987
raven,13976
gifted,13969
jumps,13957
mia's,13951
cereal,13949
order,13938
past,13932
pretending,13932
refused,13932
shut,13929
names,13925
crocodile,13917
crane,13899
pepper,13880
track,13859
flour,13859
sandwiches,13844
slid,13843
anxious,13839
sara's,13838
crystal,13835
quick,13816
ordinary,13810
snuggled,13799
grace,13764
chasing,13758
study,13735
envelope,13711
bull,13704
drawer,13699
rules,13690
lead,13685
lively,13673
computer,13659
paul,13637
gloomy,13628
sell,13615
intelligent,13589
fin,13588
piano,13567
seem,13552
shaking,13544
package,13520
needle,13504
helmet,13490
creatures,13481
design,13471
return,13467
collar,13466
parade,13450
octopus,13434
hung,13429
vroom,13426
five,13414
twirled,13412
miserable,13379
lizard,13376
ha,13356
skip,13334
ignorant,13333
alert,13320
anywhere,13302
station,13302
hunter,13289
dug,13279
aid,13273
thief,13239
less,13238
fireman,13232
sandy,13219
guess,13219
trap,13215
wishes,13211
pasta,13204
zebra,13203
pony,13167
everyday,13149
stickers,13145
bandage,13139
screen,13138
courage,13136
soldier,13118
radio,13112
cocoa,13104
jet,13094
bounced,13088
chubby,13078
trash,13076
leash,13054
shine,13051
practiced,13040
led,13038
turkey,13036
letters,13032
blow,13032
square,13026
chance,13015
lollipop,13009
attractive,13007
compassionate,12997
pack,12994
cube,12981
stirred,12963
stretched,12953
papa,12927
somewhere,12923
gem,12918
suit,12917
further,12896
arrow,12894
pigeon,12892
buddy,12880
decorate,12868
helpless,12856
broccoli,12855
fan,12835
brighter,12832
jeep,12816
steps,12803
windows,12799
competitive,12797
respectful,12790
henry,12789
troubled,12782
sweetheart,12782
friend's,12766
pressed,12761
seal,12749
itself,12741
fear,12737
attic,12730
pat,12712
starts,12694
charlie,12674
brownie,12664
candle,12661
bark,12660
nuts,12658
carpet,12645
adorable,12637
disgusting,12634
jug,12620
ghost,12620
anyway,12615
pants,12604
restless,12602
shouts,12600
ten,12592
fearful,12582
jerry,12582
mask,12562
case,12555
stir,12549
distant,12539
cards,12537
annie,12533
filthy,12529
monkeys,12528
tweetie,12521
envious,12517
afternoon,12497
impatient,12483
giggle,12481
stretch,12472
cooked,12454
tool,12439
soar,12416
tray,12403
fork,12391
lightning,12379
summer,12374
paws,12371
ostrich,12367
ants,12367
shoe,12359
shadow,12353
crawl,12349
restaurant,12347
listening,12346
nowhere,12344
sandbox,12343
post,12341
rub,12338
scooter,12318
belt,12315
cows,12309
club,12303
pipe,12297
squash,12274
travel,12265
tweet,12251
comb,12241
trumpet,12235
barking,12231
quite,12230
bathtub,12230
relax,12223
cheer,12215
thread,12207
crack,12176
dish,12176
question,12167
math,12162
happier,12148
bicycle,12137
cap,12120
record,12114
jellyfish,12112
didnt,12102
lid,12074
leopard,12073
stared,12071
cricket,12064
admire,12062
lilly,12061
message,12050
grabs,12048
harsh,12041
sort,12034
salt,12031
cats,12012
given,12006
fort,11984
danny,11984
lee,11981
gorilla,11962
pour,11960
dessert,11955
paid,11932
stuff,11929
yogurt,11928
wheat,11928
finds,11926
whiskers,11915
panda,11911
mommy's,11885
pilot,11874
rescue,11871
modest,11870
melon,11863
enthusiastic,11855
swinging,11834
pulls,11830
however,11829
tripped,11829
bubble,11829
organize,11825
size,11823
peace,11822
helicopter,11821
bears,11821
rice,11814
holes,11796
hippo,11794
behave,11792
lions,11789
riding,11786
perform,11778
violin,11772
roared,11771
wander,11770
shade,11762
forgave,11753
sent,11747
pushing,11745
mug,11742
split,11742
vine,11738
purse,11725
bikes,11724
mule,11718
hook,11715
danger,11708
sheet,11703
object,11697
alligator,11685
triangle,11683
otter,11681
heal,11670
starting,11647
boy's,11645
bananas,11609
tuna,11602
spirit,11587
neat,11580
energy,11565
tooth,11565
yell,11562
mimi,11557
either,11547
kate,11542
tomato,11537
trains,11521
frowned,11513
seeing,11510
maria,11507
learnt,11500
boots,11499
porch,11493
reward,11480
steal,11466
taxi,11462
strawberry,11456
fold,11453
harry,11452
pole,11446
jokes,11445
sticker,11443
ended,11442
mild,11436
comet,11429
knot,11428
rod,11424
evening,11412
papers,11409
knock,11405
rolling,11401
raft,11400
imagine,11394
ted,11389
wallet,11382
palace,11370
sweater,11369
millie,11362
museum,11338
tire,11337
silver,11331
john's,11327
kangaroo,11316
van,11311
climbing,11290
since,11285
cop,11283
shakes,11267
shopkeeper,11234
sock,11227
man's,11224
ink,11224
im,11223
smells,11208
alive,11189
thats,11188
laundry,11187
cactus,11172
wire,11167
speed,11151
glow,11142
clapping,11141
coffee,11135
magnet,11127
putting,11124
softly,11113
tube,11105
dust,11094
pushes,11094
visited,11087
microphone,11078
tricks,11076
notebook,11069
drawings,11063
steak,11049
hive,11049
falling,11043
colours,11030
leaned,11026
zoomed,11018
sir,11013
checked,11013
belongs,10991
james,10989
penguin,10989
airport,10984
polish,10975
he'd,10966
celery,10953
dear,10947
pebble,10947
other's,10939
judge,10925
marched,10914
dive,10907
stack,10904
meat,10904
volcano,10897
chalk,10889
grapes,10888
sailor,10881
barrel,10868
aeroplane,10864
reindeer,10856
jewel,10844
dishes,10840
goal,10839
shelter,10832
acorn,10825
barks,10820
marry,10809
fields,10808
seed,10805
send,10803
winter,10790
trophy,10784
tony,10780
ambulance,10776
apologized,10771
soil,10771
wool,10770
hoping,10764
costume,10760
rubber,10749
mushroom,10746
feelings,10720
drops,10715
available,10704
backpack,10704
onion,10703
unhappy,10689
planet,10685
quit,10681
earth,10674
twist,10671
mill,10670
there's,10669
cord,10668
medal,10666
page,10659
bin,10657
raining,10647
eraser,10645
minute,10643
yacht,10641
chain,10640
elevator,10639
dog's,10638
baking,10636
task,10624
flies,10612
comfort,10611
support,10599
complete,10596
trick,10595
perfectly,10594
frogs,10589
tap,10585
diary,10571
twig,10569
loop,10566
speak,10564
eagerly,10561
hadn't,10560
haircut,10549
resist,10539
cardboard,10534
closely,10524
peanut,10523
bun,10519
shield,10515
basketball,10508
yoga,10497
journal,10479
shrimp,10466
player,10450
glove,10441
furniture,10441
lucy's,10423
church,10403
stuffed,10394
spike,10385
second,10370
treasures,10368
breaks,10364
headed,10362
repair,10361
cooler,10357
lie,10342
counter,10322
pair,10314
coal,10312
peek,10280
between,10271
peach,10269
switch,10239
factory,10238
flame,10236
pirates,10218
oil,10217
swung,10193
potato,10191
maggie,10185
cups,10183
wife,10178
shouldn't,10172
football,10170
motorcycle,10167
gather,10131
shouting,10130
rag,10123
blowing,10109
unlock,10090
mixer,10085
folder,10067
he's,10065
video,10059
laser,10059
